"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ENGR","100","CHE ENGR Orientation-no Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","3","0","0","0","0","14","1","0","Narubin Durbin, Simona Ieva","18"
"ENGR","100","CME ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","0","0","0","0","0","60","1","3","Narubin Durbin, Simona Ieva","64"
"ENGR","100","CME ENGR Orientation-no Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","5","0","0","0","0","14","0","1","Narubin Durbin, Simona Ieva","20"
"ENGR","100","CS ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","99","0","0","0","0","267","10","5","Narubin Durbin, Simona Ieva","381"
"ENGR","100","CS ENGR Orientation-no Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","31","0","0","0","0","106","13","7","Narubin Durbin, Simona Ieva","157"
"ENGR","100","ECE ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","41","0","0","0","0","82","0","9","Narubin Durbin, Simona Ieva","132"
"ENGR","100","ECE ENGR Orientation-no Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","11","0","0","0","0","34","0","3","Narubin Durbin, Simona Ieva","48"
"ENGR","100","MIE ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","36","0","0","0","0","64","5","5","Narubin Durbin, Simona Ieva","110"
"ENGR","100","MIE ENGR Orientation-no Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","11","0","0","0","0","59","3","2","Narubin Durbin, Simona Ieva","75"
"ENGR","111","Pract Additive Manufacturing","2284","Engineering Admin","0","0","0","0","0","0","0","0","0","0","0","0","0","90","10","0","Grad Asst","100"
"ENGR","294","Dusable Trailblazing Scholar","2284","Engineering Admin","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Abiade, Jeremiah T","10"
"ENGR","494","DuSable Trailblazing Scholar","2284","Engineering Admin","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Abiade, Jeremiah T","18"
"IE","201","Financial Engineering","2323","Mechanical & Industrial Engr","23","34","30","25","2","0","0","0","0","0","0","0","0","0","0","6","Anahideh, Hadis","120"
"IE","201","Financial Engineering","2323","Mechanical & Industrial Engr","42","12","8","3","2","0","0","0","0","0","0","0","0","0","0","3","Haghighi, Azadeh","70"
"IE","342","Probability & Stat for Engr","2323","Mechanical & Industrial Engr","17","18","16","12","9","0","0","0","0","0","0","0","0","0","0","8","Nicolsen, Brynne E","80"
"IE","342","Probability & Stat for Engr","2323","Mechanical & Industrial Engr","43","33","24","5","8","0","0","0","0","0","0","0","0","0","0","6","Reckinger, Scott J","119"
"IE","345","Regr Analysis & Forecast","2323","Mechanical & Industrial Engr","18","11","3","0","0","0","0","0","1","0","0","0","0","0","0","0","Williams, Quintin Levurn","33"
"IE","365","Work Productivity Analysis","2323","Mechanical & Industrial Engr","21","7","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Williams, Quintin Levurn","30"
"IE","380","Manufacturing Process Princ","2323","Mechanical & Industrial Engr","3","10","4","2","0","0","0","0","0","0","0","0","0","0","0","0","Subramanian, Arunkumar","19"
"IE","441","Ergonomics & Human Factors","2323","Mechanical & Industrial Engr","32","9","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Williams, Quintin Levurn","43"
"IE","461","Safety Engineering","2323","Mechanical & Industrial Engr","35","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Williams, Quintin Levurn","49"
"IE","467","Discrete Event Simulation","2323","Mechanical & Industrial Engr","27","18","6","1","0","0","0","0","1","0","0","0","0","0","0","0","Pan, Yayue","53"
"IE","471","Operations Research I","2323","Mechanical & Industrial Engr","24","23","10","0","0","0","0","0","2","0","0","0","0","0","0","0","He, David Weihua","59"
"IE","473","Stochastic Processes & Queuing","2323","Mechanical & Industrial Engr","34","12","3","6","0","0","0","0","0","0","0","0","0","0","0","0","He, David Weihua","55"
"IE","499","Prof Development Seminar","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","13","1","0","Reckinger, Scott J","14"
"IE","542","Adv Comp Mthds-P&P Design","2323","Mechanical & Industrial Engr","12","9","9","6","0","0","0","1","0","0","0","0","0","0","0","0","Huang, Jida","37"
"IE","594","Data Science 1","2323","Mechanical & Industrial Engr","21","3","5","0","0","0","0","0","0","0","0","0","0","0","0","1","Anahideh, Hadis","30"
"IE","594","Time Series Analy&Forecasting","2323","Mechanical & Industrial Engr","5","6","2","1","0","0","0","0","0","0","0","0","0","0","0","0","Li, Lin","14"
"IE","595","Industrial Engineering Seminar","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","71","0","0","Hatami Marbini, Hamed","71"
"ME","205","Intro to Thermodynamics","2323","Mechanical & Industrial Engr","53","25","17","15","3","0","0","0","0","0","0","0","0","0","0","5","Manafzadeh, Saeed","118"
"ME","210","Engineering Dynamics","2323","Mechanical & Industrial Engr","13","10","3","3","1","0","0","0","0","0","0","0","0","0","0","1","Lilley, Carmen M","31"
"ME","210","Engineering Dynamics","2323","Mechanical & Industrial Engr","21","24","14","3","3","0","0","0","0","0","0","0","0","0","0","1","Scott, Michael J","66"
"ME","211","Fluid Mechanics l","2323","Mechanical & Industrial Engr","18","24","9","4","0","0","0","0","0","0","0","0","0","0","0","3","Jung, Eunjung","58"
"ME","211","Fluid Mechanics l","2323","Mechanical & Industrial Engr","4","27","9","1","4","0","0","0","0","0","0","0","0","0","0","2","Mirbod, Parisa","47"
"ME","250","Intro to Engineering Design","2323","Mechanical & Industrial Engr","41","12","8","7","3","0","0","0","1","0","0","0","0","0","0","3","Siow, Yeow","75"
"ME","250","Intro to Engineering Design","2323","Mechanical & Industrial Engr","48","14","6","3","2","0","0","0","0","0","0","0","0","0","0","6","Szwalek, Jamison","79"
"ME","261","Materials for Manufacturing","2737","Civil, Matls & Env Engineering","3","11","7","0","0","0","0","0","0","0","0","0","0","0","0","0","Kadkhodaei, Sara","21"
"ME","308","Mechanical Vibrations","2323","Mechanical & Industrial Engr","42","18","6","8","8","0","0","0","1","0","0","0","0","0","0","4","Siow, Yeow","87"
"ME","312","Dynamic Syst & Control","2323","Mechanical & Industrial Engr","5","18","13","6","1","0","0","0","0","0","0","0","0","0","0","1","Demir, Mehmet","44"
"ME","312","Dynamic Syst & Control","2323","Mechanical & Industrial Engr","34","18","9","3","1","0","0","0","0","0","0","0","0","0","0","1","Kim, Myunghee","66"
"ME","320","Mechanisms&Dynamics/Machinery","2323","Mechanical & Industrial Engr","28","14","12","4","2","0","0","0","0","0","0","0","0","0","0","4","Brown, Michael A","64"
"ME","321","Heat Transfer","2323","Mechanical & Industrial Engr","19","26","5","2","0","0","0","0","0","0","0","0","0","0","0","2","Jung, Eunjung","54"
"ME","321","Heat Transfer","2323","Mechanical & Industrial Engr","8","3","2","6","0","0","0","0","0","0","0","0","0","0","0","1","Salehi-Khojin, Amin","20"
"ME","325","Intermediate Thermodynamics","2323","Mechanical & Industrial Engr","10","14","17","5","1","0","0","0","0","0","0","0","0","0","0","1","Anand, Sushant","48"
"ME","325","Intermediate Thermodynamics","2323","Mechanical & Industrial Engr","7","10","10","11","5","0","0","0","0","0","0","0","0","0","0","5","Lynch, Patrick T","48"
"ME","341","Exp Methods in Mech Engr","2323","Mechanical & Industrial Engr","27","8","5","2","1","0","0","0","0","0","0","0","0","0","0","2","Szwalek, Jamison","45"
"ME","341","Exp Methods in Mech Engr","2323","Mechanical & Industrial Engr","25","11","1","2","1","0","0","0","0","0","0","0","0","0","0","0","Xu, Jie","40"
"ME","347","Computer-Aided Design","2323","Mechanical & Industrial Engr","10","11","3","4","1","0","0","0","0","0","0","0","0","0","0","1","Hatami Marbini, Hamed","30"
"ME","370","Mechanical Engineering Design","2323","Mechanical & Industrial Engr","16","20","6","5","0","0","0","0","0","0","0","0","0","0","0","2","Finan, John Desmond","49"
"ME","370","Mechanical Engineering Design","2323","Mechanical & Industrial Engr","12","30","10","3","0","0","0","0","0","0","0","0","0","0","0","0","Subramanian, Arunkumar","55"
"ME","380","Manufacturing Process Princ","2323","Mechanical & Industrial Engr","5","17","16","0","0","0","0","0","0","0","0","0","0","0","0","0","Abiade, Jeremiah T","38"
"ME","380","Manufacturing Process Princ","2323","Mechanical & Industrial Engr","14","26","6","2","1","0","0","0","1","0","0","0","0","0","0","1","Subramanian, Arunkumar","51"
"ME","396","Senior Design I","2323","Mechanical & Industrial Engr","11","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Brown, Michael A","13"
"ME","396","Senior Design I","2323","Mechanical & Industrial Engr","83","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Komperda, Jonathan","90"
"ME","396","Senior Design Project","2323","Mechanical & Industrial Engr","23","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Alonso, Matthew Paul","31"
"ME","396","Senior Design Project","2323","Mechanical & Industrial Engr","23","9","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Brown, Michael A","34"
"ME","401","Applied Stress Analysis I","2323","Mechanical & Industrial Engr","12","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Shahbazian-Yassar, Reza","19"
"ME","411","Mechatronics I","2323","Mechanical & Industrial Engr","18","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Kim, Myunghee","22"
"ME","419","Compressible Flow Theory","2323","Mechanical & Industrial Engr","5","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","Brezinsky, Kenneth","10"
"ME","424","Industrial Energy Mgmt","2323","Mechanical & Industrial Engr","24","20","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Ryan, William A","48"
"ME","428","Numerical Methods in ME","2323","Mechanical & Industrial Engr","16","8","14","12","5","0","0","0","1","0","0","0","0","0","0","3","Komperda, Jonathan","59"
"ME","429","Internal Combustion Engines","2323","Mechanical & Industrial Engr","3","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Manafzadeh, Saeed","13"
"ME","494","ME Math","2323","Mechanical & Industrial Engr","9","6","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Megaridis, Constantine M","18"
"ME","499","Prof Development Seminar","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","42","1","1","Reckinger, Scott J","44"
"ME","510","Robotic Maniulators","2323","Mechanical & Industrial Engr","23","4","3","1","1","0","0","0","0","0","0","0","0","0","0","0","Bhounsule, Pranav Audhut","32"
"ME","542","Adv Comp Mthds- P&P Design","2323","Mechanical & Industrial Engr","8","5","2","2","0","0","0","0","0","0","0","0","0","0","0","0","Huang, Jida","17"
"ME","562","Biomedical Implants","2437","Biomedical Eng - Engineering","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Mathew Thoppil, Mathew","25"
"ME","595","Mechanical Engineering Seminar","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","144","0","0","Hatami Marbini, Hamed","144"
